OrderDate,GWP,VS
19/8/2017,600,12955
20/8/2017,600,12955
21/8/2017,600,12955
22/8/2017,600,12955
23/8/2017,600,12955
24/8/2017,600,12955
25/8/2017,600,12955
26/8/2017,600,12955
27/8/2017,600,12955
28/8/2017,600,12955
29/8/2017,600,12955
30/8/2017,600,12955
31/8/2017,600,12955
1/9/2017,10800,15350.72043
2/9/2017,10800,15350.72043
3/9/2017,10800,15350.72043
4/9/2017,10800,15350.72043
5/9/2017,10800,15350.72043
6/9/2017,10800,15350.72043
7/9/2017,10800,15350.72043
8/9/2017,10800,15350.72043
9/9/2017,10800,15350.72043
10/9/2017,10800,15350.72043
11/9/2017,10800,15350.72043
12/9/2017,10800,15350.72043
13/9/2017,10800,15350.72043
14/9/2017,10800,15350.72043
15/9/2017,10800,15350.72043
16/9/2017,10800,15350.72043
17/9/2017,10800,15350.72043
18/9/2017,10800,15350.72043
19/9/2017,10800,15350.72043
20/9/2017,10800,15350.72043
21/9/2017,10800,15350.72043
22/9/2017,10800,15350.72043
23/9/2017,10800,15350.72043
24/9/2017,10800,15350.72043
25/9/2017,10800,15350.72043
26/9/2017,10800,15350.72043
27/9/2017,10800,15350.72043
28/9/2017,10800,15350.72043
29/9/2017,10800,15350.72043
30/9/2017,10800,15350.72043
1/10/2017,1200,35798.27957
2/10/2017,1200,35798.27957
3/10/2017,1200,35798.27957
4/10/2017,1200,35798.27957
5/10/2017,1200,35798.27957
6/10/2017,1200,35798.27957
7/10/2017,1200,35798.27957
8/10/2017,1200,35798.27957
9/10/2017,1200,35798.27957
10/10/2017,1200,35798.27957
11/10/2017,1200,35798.27957
12/10/2017,1200,35798.27957
13/10/2017,1200,35798.27957
14/10/2017,1200,35798.27957
15/10/2017,1200,35798.27957
16/10/2017,1200,35798.27957
17/10/2017,1200,35798.27957
18/10/2017,1200,35798.27957
19/10/2017,1200,35798.27957
20/10/2017,1200,35798.27957
21/10/2017,1200,35798.27957
22/10/2017,1200,35798.27957
23/10/2017,1200,35798.27957
24/10/2017,1200,35798.27957
25/10/2017,1200,35798.27957
26/10/2017,1200,35798.27957
27/10/2017,1200,35798.27957
28/10/2017,1200,35798.27957
29/10/2017,1200,35798.27957
30/10/2017,1200,35798.27957
31/10/2017,1200,35798.27957
1/11/2017,10600,55930
2/11/2017,10600,55930
3/11/2017,10600,55930
4/11/2017,10600,55930
5/11/2017,10600,55930
6/11/2017,10600,55930
7/11/2017,10600,55930
8/11/2017,10600,55930
9/11/2017,10600,55930
10/11/2017,10600,55930
11/11/2017,10600,55930
12/11/2017,10600,55930
13/11/2017,10600,55930
14/11/2017,10600,55930
15/11/2017,10600,55930
16/11/2017,10600,55930
17/11/2017,10600,55930
18/11/2017,10600,55930
19/11/2017,10600,55930
20/11/2017,10600,55930
21/11/2017,10600,55930
22/11/2017,10600,55930
23/11/2017,10600,55930
24/11/2017,10600,55930
25/11/2017,10600,55930
26/11/2017,10600,55930
27/11/2017,10600,55930
28/11/2017,10600,55930
29/11/2017,10600,55930
30/11/2017,10600,55930
1/12/2017,900,20505.41667
2/12/2017,900,20505.41667
3/12/2017,900,20505.41667
4/12/2017,900,20505.41667
5/12/2017,900,20505.41667
6/12/2017,900,20505.41667
7/12/2017,900,20505.41667
8/12/2017,900,20505.41667
9/12/2017,900,20505.41667
10/12/2017,900,20505.41667
11/12/2017,900,20505.41667
12/12/2017,900,20505.41667
13/12/2017,900,20505.41667
14/12/2017,900,20505.41667
15/12/2017,900,20505.41667
16/12/2017,900,20505.41667
17/12/2017,900,20505.41667
18/12/2017,900,20505.41667
19/12/2017,900,20505.41667
20/12/2017,900,20505.41667
21/12/2017,900,20505.41667
22/12/2017,900,20505.41667
23/12/2017,900,20505.41667
24/12/2017,900,20505.41667
25/12/2017,900,20505.41667
26/12/2017,900,20505.41667
27/12/2017,900,20505.41667
28/12/2017,900,20505.41667
29/12/2017,900,20505.41667
30/12/2017,900,20505.41667
31/12/2017,900,20505.41667
1/1/2018,3878.947368,12929.16228
2/1/2018,3878.947368,12929.16228
3/1/2018,3878.947368,12929.16228
4/1/2018,3878.947368,12929.16228
5/1/2018,3878.947368,12929.16228
6/1/2018,3878.947368,12929.16228
7/1/2018,3878.947368,12929.16228
8/1/2018,3878.947368,12929.16228
9/1/2018,3878.947368,12929.16228
10/1/2018,3878.947368,12929.16228
11/1/2018,3878.947368,12929.16228
12/1/2018,3878.947368,12929.16228
13/1/2018,3878.947368,12929.16228
14/1/2018,3878.947368,12929.16228
15/1/2018,3878.947368,12929.16228
16/1/2018,3878.947368,12929.16228
17/1/2018,3878.947368,12929.16228
18/1/2018,3878.947368,12929.16228
19/1/2018,3878.947368,12929.16228
20/1/2018,3878.947368,12929.16228
21/1/2018,3878.947368,12929.16228
22/1/2018,3878.947368,12929.16228
23/1/2018,3878.947368,12929.16228
24/1/2018,3878.947368,12929.16228
25/1/2018,3878.947368,12929.16228
26/1/2018,3878.947368,12929.16228
27/1/2018,3878.947368,12929.16228
28/1/2018,3878.947368,12929.16228
29/1/2018,3878.947368,12929.16228
30/1/2018,3878.947368,12929.16228
31/1/2018,3878.947368,12929.16228
1/2/2018,1621.052632,16988.42105
2/2/2018,1621.052632,16988.42105
3/2/2018,1621.052632,16988.42105
4/2/2018,1621.052632,16988.42105
5/2/2018,1621.052632,16988.42105
6/2/2018,1621.052632,16988.42105
7/2/2018,1621.052632,16988.42105
8/2/2018,1621.052632,16988.42105
9/2/2018,1621.052632,16988.42105
10/2/2018,1621.052632,16988.42105
11/2/2018,1621.052632,16988.42105
12/2/2018,1621.052632,16988.42105
13/2/2018,1621.052632,16988.42105
14/2/2018,1621.052632,16988.42105
15/2/2018,1621.052632,16988.42105
16/2/2018,1621.052632,16988.42105
17/2/2018,1621.052632,16988.42105
18/2/2018,1621.052632,16988.42105
19/2/2018,1621.052632,16988.42105
20/2/2018,1621.052632,16988.42105
21/2/2018,1621.052632,16988.42105
22/2/2018,1621.052632,16988.42105
23/2/2018,1621.052632,16988.42105
24/2/2018,1621.052632,16988.42105
25/2/2018,1621.052632,16988.42105
26/2/2018,1621.052632,16988.42105
27/2/2018,1621.052632,16988.42105
28/2/2018,1621.052632,16988.42105
1/3/2018,0,15020
2/3/2018,0,15020
3/3/2018,0,15020
4/3/2018,0,15020
5/3/2018,0,15020
6/3/2018,0,15020
7/3/2018,0,15020
8/3/2018,0,15020
9/3/2018,0,15020
10/3/2018,0,15020
11/3/2018,0,15020
12/3/2018,0,15020
13/3/2018,0,15020
14/3/2018,0,15020
15/3/2018,0,15020
16/3/2018,0,15020
17/3/2018,0,15020
18/3/2018,0,15020
19/3/2018,0,15020
20/3/2018,0,15020
21/3/2018,0,15020
22/3/2018,0,15020
23/3/2018,0,15020
